ph,hardness,turbidity,arsenic,chloramine,bacteria,lead,nitrates,mercury,is_safe
7.036752103833548,204.8904554713363,2.9631353806316407,0.04,0.35,0.2,0.054,16.08,0.007,1.0
3.71608007538699,129.42292051494425,4.500656274942408,0.01,5.28,0.65,0.1,2.01,0.003,1.0
8.099124189298397,224.23625939355776,3.0559337496641685,0.04,4.24,0.05,0.078,14.16,0.006,0.0
8.316765884214679,214.3733940856225,4.628770536837084,0.04,7.23,0.71,0.016,1.41,0.004,1.0
9.092223456290965,181.10150923612525,4.075075425430034,0.03,2.67,0.13,0.117,6.74,0.003,1.0
5.584086638456089,188.3133237696164,2.5597082275565217,0.03,0.8,0.67,0.135,9.75,0.006,1.0
10.223862164528772,248.07173527013992,2.672988736934779,0.01,1.28,0.13,0.021,18.6,0.007,0.0
8.635848718500734,203.3615225845705,4.401424715445482,0.04,6.22,0.16,0.197,13.65,0.001,0.0
7.036752103833548,118.98857909025187,3.5950171809576155,0.01,3.14,0.35,0.167,14.66,0.004,1.0
11.180284470721592,227.23146923797452,4.370561936655497,0.02,6.4,0.83,0.109,4.79,0.01,1.0
7.360640105838258,165.52079725952862,3.662291782852457,0.001,5.75,0.04,0.145,8.47,0.006,0.0
7.974521648923869,218.69330048866644,4.011718108339787,0.04,0.1,0.52,0.011,18.4,0.009,1.0
7.119824384264552,156.70499334039215,3.445756223321899,0.02,0.05,0.91,0.103,4.37,0.006,1.0
7.036752103833548,150.1749233951362,4.413974182974902,0.04,0.7,0.7,0.101,1.16,0.008,1.0
7.49623220797336,205.3449821581852,4.777382337225378,0.05,5.99,0.2,0.126,17.56,0.009,1.0
6.347271760539316,186.7328806605761,4.376348290691898,0.03,1.94,0.23,0.017,1.99,0.007,1.0
7.051785800016845,211.04940606054572,4.268428857506186,0.02,5.29,0.89,0.08,1.91,0.008,1.0
9.181560007151536,273.81380665980095,4.503660796179122,0.02,7.78,0.85,0.065,17.86,0.003,1.0
8.975464347533963,279.3571667700924,2.4360855903052734,0.02,1.21,0.75,0.071,0.31,0.002,0.0
7.371050302429531,214.49661045715652,2.5602991476149146,0.02,0.01,0.99,0.108,8.06,0.005,1.0
7.036752103833548,227.435048351156,4.13342264357917,0.001,4.57,0.92,0.086,9.46,0.007,1.0
6.660212026118103,168.28374685651832,3.7497012410996176,0.02,3.47,0.58,0.061,8.96,0.004,1.0
7.036752103833548,215.97785868806776,5.459250956028731,0.02,3.74,0.8,0.114,12.69,0.008,1.0
3.902475685915096,196.9032467083208,4.528522696326911,0.03,7.24,0.56,0.012,9.42,0.004,0.0
5.400301780729467,140.7390622511396,4.824786389767524,0.01,4.07,0.96,0.167,15.05,0.002,0.0
6.514415093251676,198.7673512594561,5.200885076539757,0.03,7.22,0.25,0.109,1.92,0.001,1.0
3.4450618643852127,207.92626018799376,4.184396969028851,0.01,2.55,0.16,0.031,16.99,0.007,1.0
7.036752103833548,145.76818060217258,4.004871127571583,0.001,2.87,0.44,0.11,13.73,0.009,0.0
7.036752103833548,266.4210180681174,3.9915642477993054,0.03,6.63,0.69,0.182,1.49,0.008,1.0
7.036752103833548,148.15306144508662,6.0381849531835865,0.01,2.78,0.08,0.049,9.64,0.006,0.0
7.181448580829175,209.62560053629045,5.088859989138795,0.001,5.87,0.13,0.079,8.64,0.007,1.0
9.82548990813439,190.7566182870043,2.857472426051184,0.05,2.86,0.77,0.012,1.11,0.008,1.0
10.43329098280438,117.79122955039698,5.057310516515726,0.04,4.0,0.38,0.013,11.0,0.006,1.0
7.414148196336244,235.04453448737107,3.160624468232638,0.03,4.25,0.12,0.193,17.29,0.001,0.0
7.036752103833548,232.2804520235321,5.029166724080735,0.001,7.75,0.8,0.091,17.33,0.001,0.0
5.115817063771218,191.95274297485884,3.9020887676437535,0.05,4.55,0.3,0.135,5.23,0.004,1.0
3.641629777473381,183.9087222618269,3.464353035155024,0.03,4.94,0.75,0.124,1.91,0.008,1.0
5.618064405909149,304.23591211231667,2.8965469413044738,0.02,0.64,0.44,0.107,13.24,0.009,1.0
7.036752103833548,143.45373131192335,2.90756391519334,0.04,2.86,0.13,0.085,11.96,0.008,0.0
9.267187530763549,198.614394719096,4.324004645618281,0.03,4.3,0.26,0.146,7.96,0.006,0.0
7.036752103833548,233.8589956912124,3.510004044590529,0.05,2.24,0.63,0.162,11.4,0.005,0.0
5.331940479018537,194.8740654457996,4.434820257956548,0.01,2.4,0.86,0.048,1.79,0.005,0.0
7.145771545218821,238.68992851166007,5.182590703980226,0.04,2.9,0.32,0.082,18.91,0.008,1.0
9.920691058768153,202.8174830014264,4.69070723013249,0.001,3.58,0.49,0.079,15.05,0.005,0.0
4.758439424671477,183.3494541059977,4.542801461749175,0.02,2.99,0.13,0.071,18.7,0.004,0.0
5.702925976824722,216.8504738726152,4.137739016206605,0.02,5.71,0.27,0.103,16.16,0.006,1.0
